9.4101 S, 139.6397 E
4.8199 N, 16.8812 E
71.6844 S, 103.3227 W
41.9278 N, 5.6697 W
9.4706 N, 45.1865 W
74.4707 S, 95.2766 E
26.4239 S, 171.6145 W
54.2035 S, 56.5066 E
14.4288 S, 121.0412 E
28.4217 N, 59.2080 W
15.2122 S, 158.7344 W
33.2471 S, 111.9190 E
64.0459 S, 45.0461 E
3.4424 S, 17.7340 E
53.6973 N, 55.8063 W
57.9673 N, 69.5979 E
1.2184 S, 30.7006 E
35.6660 N, 41.1360 W
10.5361 S, 103.8106 E
41.8493 S, 158.9334 W
14.8524 S, 134.7532 E
67.8730 S, 134.2947 W
65.1541 N, 95.2748 W
55.7268 S, 62.9029 E
65.8045 N, 172.0200 E
15.2328 N, 63.9771 W
18.5380 N, 126.6422 E
11.2235 N, 140.7553 E
78.1450 N, 8.9087 E
75.7741 S, 17.9856 W
47.8477 N, 3.3460 W
18.5432 N, 135.3282 W
83.9513 S, 8.3920 W
81.8567 N, 29.2298 W
30.9081 N, 133.6223 E
42.8384 S, 85.4011 W
58.3810 S, 25.1954 W
54.2280 S, 151.4413 E
1.7831 N, 123.2669 W
53.9317 S, 95.7494 W
76.8843 N, 102.2423 W
2.9982 N, 100.4607 W
33.1872 S, 11.6882 E
30.2926 S, 8.7117 W
2.3557 S, 152.4272 W
64.7024 S, 133.6081 W
0.3432 N, 159.6133 E
70.6579 S, 55.5352 E
13.2736 S, 41.7506 W
73.6780 S, 177.1035 E
54.2562 S, 113.3404 W
38.6235 N, 164.3228 E
60.9181 S, 81.5485 E
78.9082 N, 42.8431 E
76.7742 S, 136.1198 W
57.4079 N, 101.8418 W
28.1576 S, 48.6074 E
30.0459 S, 152.4232 E
49.8485 S, 15.0590 E
42.3648 N, 99.0888 E
71.7568 S, 98.6653 W
14.0684 S, 47.1675 E
88.6384 N, 64.3969 W
27.8120 S, 41.7601 E
63.7579 N, 91.8211 W
71.8633 S, 117.5429 E
89.2434 N, 33.0078 E
33.2875 S, 62.4201 E
56.4720 S, 99.7430 E
