5.9120 N, 56.5964 W
62.2765 N, 84.7408 E
35.8318 S, 89.5628 E
86.7761 N, 175.3627 E
68.0942 N, 169.6658 E
76.4664 S, 68.6363 E
37.4220 S, 8.3393 E
31.0928 S, 46.6426 E
25.1081 S, 73.6368 E
48.9741 S, 49.0956 E
1.6326 S, 32.0709 W
62.3722 N, 1.2500 E
56.7968 N, 35.9842 W
13.7828 S, 107.7481 W
77.8272 N, 133.1782 W
2.0300 N, 95.9628 W
24.9286 N, 98.6300 W
23.9331 N, 168.6023 W
40.6962 S, 76.3374 E
12.6351 S, 31.7271 W
31.9343 S, 32.4843 W
41.1103 S, 27.4888 W
55.2915 N, 51.0291 W
1.2761 S, 114.8008 W
43.6907 S, 106.4376 W
85.6320 S, 34.6039 E
59.5226 S, 152.9674 E
83.3556 N, 80.2942 E
26.0555 N, 24.7380 E
47.9475 N, 168.9366 E
64.5555 S, 5.9566 E
18.9639 S, 122.4915 E
16.6126 S, 82.7744 E
76.2224 S, 82.9368 E
19.5150 S, 40.5324 W
76.7856 N, 100.8138 W
77.5730 S, 37.1820 W
24.8294 S, 150.0077 E
11.4312 N, 104.1381 E
84.3539 S, 68.1053 W
49.5378 N, 52.4144 W
87.5883 N, 70.0685 E
50.3263 S, 98.5602 W
69.6205 N, 46.7471 E
1.0227 N, 139.2029 E
14.5754 S, 28.3226 W
48.6668 S, 7.1267 W
59.5568 N, 92.9271 W
7.0236 S, 81.1150 E
17.7072 S, 102.7063 W
59.2026 S, 80.7484 W
13.7460 S, 111.7941 W
1.5498 S, 148.7899 W
83.0337 N, 16.7268 E
72.9324 S, 124.7630 W
50.3596 N, 49.1904 W
25.0153 N, 89.5935 E
3.8152 N, 169.1824 W
65.8197 S, 103.1066 E
2.9830 N, 107.7448 E
42.1281 S, 17.3113 E
57.6705 N, 76.5272 E
28.0114 N, 118.6460 W
30.3000 N, 137.4987 W
76.1469 N, 49.4791 E
26.3305 S, 4.0302 E
32.5627 N, 82.3089 E
37.9845 S, 144.2216 E
63.4085 N, 107.5864 W
