63.2742 S, 115.9766 W
10.6412 N, 75.2222 W
37.4774 S, 118.6094 W
1.3978 N, 178.5010 E
72.1005 N, 36.2166 E
19.0893 N, 25.0765 W
66.5045 S, 136.6558 E
82.7618 S, 32.1781 E
57.8824 N, 25.4077 W
57.4628 N, 75.9973 E
43.6821 N, 175.8070 W
31.8937 S, 115.3104 W
82.2916 S, 76.6823 W
54.4164 S, 73.5205 E
74.8405 N, 89.1371 W
61.9647 N, 107.5450 E
57.4258 N, 140.0146 E
48.1432 S, 26.2170 E
30.3740 S, 161.3959 E
72.2766 N, 103.8324 E
46.2082 N, 81.0190 E
10.3632 S, 162.1274 E
47.5802 N, 4.6482 E
74.8263 S, 119.7840 W
58.2020 S, 16.9945 W
57.1887 N, 43.1612 E
19.9431 S, 170.1778 E
29.6549 S, 156.4142 E
23.9285 N, 154.4139 E
38.2034 N, 98.9355 W
4.9649 N, 15.6167 W
37.6160 N, 2.1126 W
22.4287 N, 54.2485 E
48.2321 S, 105.0649 W
71.7273 N, 124.1236 W
63.5839 S, 49.2588 W
36.4618 N, 35.0349 E
43.6180 N, 30.5938 E
66.3424 N, 12.2135 E
82.9158 S, 155.1303 W
25.0404 N, 32.7269 E
19.9919 N, 85.8549 W
2.3588 N, 20.0361 W
34.5444 N, 121.2551 E
68.3986 N, 94.9032 E
68.8855 N, 55.3796 W
74.3172 N, 86.6715 W
74.2914 S, 176.0302 E
29.2313 S, 109.3981 E
80.0751 S, 56.2706 E
52.9181 N, 124.2772 E
16.3986 N, 94.4877 W
25.7120 N, 64.6107 E
64.9638 N, 101.2621 W
31.9108 N, 63.3954 W
57.8027 N, 168.7748 E
39.7446 S, 31.0515 E
35.1229 N, 115.8439 W
7.2072 S, 16.9795 W
52.5218 S, 92.1377 W
72.9362 N, 84.7444 W
38.4869 S, 146.6779 W
73.9695 S, 152.2027 W
40.0328 N, 128.3730 W
12.4088 N, 61.3270 E
49.6340 N, 36.1866 W
88.1729 S, 112.9315 E
13.1834 N, 59.7709 E
43.8154 N, 152.7103 W
19.2077 N, 48.1859 E
59.0436 N, 24.0665 E
40.5241 S, 88.8280 E
56.9871 N, 55.3317 W
61.4544 S, 22.2631 E
35.7627 S, 42.8767 W
48.3089 S, 86.4285 E
5.2430 N, 117.0727 E
16.5194 S, 21.2871 W
14.2556 N, 106.0035 W
24.3637 N, 77.4221 W
87.4717 S, 136.7890 E
64.9323 N, 40.4699 E
14.6492 N, 103.7392 E
29.3568 N, 114.2314 E
20.8250 S, 16.9936 W
0.9826 S, 56.8739 E
74.5499 N, 136.7790 E
67.4092 S, 144.4420 E
27.9713 S, 18.3575 W
7.6270 S, 117.7410 E
32.3260 N, 101.5006 E
53.5769 S, 76.2856 E
89.6274 N, 76.0380 W
52.5959 N, 19.1806 W
46.9347 S, 36.2756 W
3.2013 N, 3.0574 E
65.1164 S, 174.3350 W
37.3389 S, 99.2737 W
78.5516 N, 127.3805 E
6.1654 N, 164.5311 E
59.0829 N, 1.9354 E
53.4748 N, 65.2131 E
48.2755 N, 17.8432 E
83.5472 N, 59.7671 W
13.8962 N, 33.6179 E
35.1066 S, 164.3031 W
21.5001 N, 141.7155 W
42.2205 S, 40.8064 E
29.6714 S, 176.7642 E
59.5739 S, 118.5720 W
13.7132 N, 65.8252 W
0.7789 S, 90.9380 W
3.7157 S, 8.9007 W
45.0180 N, 28.8633 W
20.2501 S, 27.0190 W
17.5957 S, 30.3449 W
84.4207 S, 142.5111 W
35.4451 S, 55.2601 E
58.8057 N, 43.6322 W
35.4785 S, 74.7706 E
18.3905 N, 105.2121 E
42.5329 S, 74.6360 W
6.0171 S, 136.8932 W
66.1747 N, 152.2771 W
10.3843 S, 110.7096 W
86.2502 N, 139.3417 E
43.4149 N, 117.0587 E
70.9563 N, 72.9371 W
12.6339 N, 85.3970 W
36.6899 N, 8.8133 W
17.1357 S, 40.7013 W
38.9050 S, 37.6501 E
31.1571 S, 60.6840 W
2.6889 N, 26.0457 E
8.9709 N, 17.2116 W
82.6652 S, 6.4501 W
42.7580 N, 12.5144 E
55.2024 S, 6.5162 E
59.3277 S, 16.7524 W
35.6839 S, 40.7364 W
9.5309 S, 34.5451 E
18.5589 S, 37.0705 E
66.5061 N, 94.3439 E
44.7951 N, 20.2908 W
12.3772 S, 91.1479 E
36.3427 N, 140.0028 E
88.3726 N, 52.4176 E
7.4701 S, 77.4667 W
11.1689 S, 145.7495 E
3.0823 S, 155.6261 E
49.7614 N, 86.3637 E
48.8704 N, 161.2062 W
64.0986 S, 30.3745 E
61.3966 S, 88.5699 W
3.5617 N, 83.5988 E
85.0248 S, 70.2092 W
56.4783 N, 24.4115 W
14.6701 N, 79.0665 W
81.7124 N, 78.6239 E
7.7741 S, 130.4204 W
15.3125 N, 134.3448 E
4.4297 N, 20.5023 E
21.6664 N, 104.1100 W
80.6885 S, 179.6513 W
57.2999 N, 75.7289 W
58.8565 S, 178.7271 W
74.0961 S, 59.0881 E
23.6265 S, 24.7310 E
27.9191 N, 34.3345 E
2.1232 S, 84.8062 E
55.0795 S, 82.1379 W
25.5755 N, 57.8241 W
21.8851 N, 122.0130 W
21.3057 S, 15.6987 E
41.4606 N, 58.2058 W
21.5799 S, 132.2012 E
42.7440 N, 38.1324 E
16.1079 S, 28.8911 E
7.3780 N, 69.5750 E
86.7337 S, 75.0013 E
51.3055 N, 46.1556 W
57.7193 N, 156.2474 E
52.6984 N, 62.2244 W
64.5861 N, 156.4056 E
11.5715 S, 137.2756 E
17.0840 N, 61.0224 W
84.5458 N, 89.4229 W
63.8459 S, 121.4029 E
5.8128 N, 45.4453 W
68.1667 S, 136.8333 W
16.6531 S, 24.3193 W
15.6724 S, 89.2027 W
19.4863 S, 122.9650 W
17.3626 S, 29.3467 E
24.3700 S, 123.5889 E
72.6622 S, 75.4599 E
41.3511 S, 70.8489 W
9.6847 S, 20.2064 E
21.2742 S, 102.0706 W
13.9224 N, 141.3495 E
46.7114 S, 60.2301 E
0.9931 S, 53.1770 W
74.6263 N, 177.7242 W
34.5994 S, 6.6673 W
20.0359 S, 78.5848 W
53.6462 S, 69.8248 E
1.0058 N, 125.4660 W
54.0464 S, 4.8213 W
44.9491 N, 38.2412 E
28.6041 N, 78.4375 E
23.3079 N, 84.9342 E
66.9916 N, 33.1223 E
12.4486 N, 10.9652 E
89.1372 N, 40.4756 W
64.7529 S, 127.9379 E
23.5222 N, 24.9175 E
86.7812 N, 68.5739 E
15.7954 S, 131.2076 E
46.3369 S, 25.5002 E
53.6215 N, 62.0720 E
11.5731 S, 98.8473 E
46.0424 S, 38.6290 W
5.9410 S, 82.7605 W
69.5006 N, 30.2946 W
60.2642 N, 82.4712 W
47.4345 S, 42.5823 W
43.4334 N, 70.8867 E
17.2292 N, 53.2668 W
23.4300 S, 12.9523 E
38.3165 S, 123.8430 E
0.9732 N, 165.5681 E
27.2069 S, 34.9857 W
50.6371 N, 68.2937 E
81.5657 S, 106.1167 E
31.6252 N, 146.2480 W
68.0269 S, 50.4381 W
18.1061 N, 130.7975 E
1.4954 S, 56.6723 E
85.3083 N, 159.0573 E
2.5392 S, 11.8551 W
7.6191 S, 53.7953 W
71.4746 N, 142.3475 W
67.0932 S, 60.5380 W
59.3634 N, 97.3301 W
37.3736 S, 169.8322 W
63.7772 N, 7.7365 E
72.5624 S, 156.0738 E
26.5705 N, 81.0793 W
32.9512 N, 30.6590 W
45.2522 N, 66.8098 E
61.4830 N, 38.2137 W
45.0464 N, 75.9433 E
17.7883 N, 53.5504 E
13.2112 S, 88.8990 E
6.1640 N, 132.6573 E
28.2647 N, 70.5023 E
1.0331 S, 100.6031 W
74.5000 N, 66.6008 E
50.9977 S, 80.3247 E
50.5794 S, 55.8341 W
57.6712 S, 29.0544 W
80.1250 N, 40.7485 E
49.9222 N, 73.7491 E
34.1323 N, 131.7457 E
23.3573 S, 48.2214 E
33.3543 N, 60.5206 E
21.0322 N, 37.2610 E
5.7618 N, 107.4059 E
80.5790 N, 56.0931 W
29.5119 S, 45.1637 E
71.3356 S, 35.2100 W
40.4814 S, 107.7086 W
74.9552 S, 14.3718 E
61.5165 S, 65.2450 E
87.7063 N, 45.4025 W
55.8446 N, 119.0705 E
48.0132 N, 153.4278 W
77.5799 N, 147.5732 W
20.0193 S, 143.0174 W
36.7552 N, 54.4649 W
68.3883 S, 49.9713 E
68.3874 N, 16.7496 E
73.0203 S, 150.5470 E
60.7805 N, 151.3831 W
61.6559 S, 29.3227 E
44.8580 S, 146.8087 W
45.2997 N, 152.6274 W
77.0728 S, 179.9157 E
5.4731 S, 161.5422 E
10.3614 S, 161.8335 E
26.5502 N, 86.0006 E
78.6114 N, 38.8653 E
32.9359 N, 55.8545 W
69.8982 S, 10.0319 E
55.6767 S, 36.9769 W
32.0539 N, 63.1296 W
5.8127 S, 120.4433 W
50.4142 S, 77.7557 E
74.6126 N, 17.2300 E
30.6801 N, 42.7452 E
12.1298 N, 71.4772 W
64.4888 N, 52.1350 E
18.7118 N, 121.9225 E
59.9238 S, 115.7083 W
66.8863 N, 125.8746 E
72.0209 N, 104.8025 E
72.4185 N, 79.1800 W
50.1467 S, 147.2494 E
71.4825 S, 103.1259 W
6.2026 S, 113.2010 W
4.8340 N, 100.9208 W
81.6708 N, 42.5008 W
78.6245 N, 155.7252 W
10.7867 N, 45.9114 W
11.6277 N, 84.9126 W
0.2953 S, 167.6762 W
78.4650 S, 166.7851 W
63.7551 N, 97.9999 E
29.3457 N, 22.7734 W
29.2441 S, 16.6685 W
57.7000 N, 85.1601 W
66.7718 N, 105.2158 E
46.1444 N, 136.0995 W
88.8595 N, 165.9807 E
52.2036 S, 135.9430 E
77.8494 N, 31.7930 E
69.6779 S, 22.1563 E
54.6609 N, 161.8588 W
70.4161 S, 30.5522 W
43.4811 N, 43.4049 E
29.5307 N, 99.4032 E
78.4786 N, 127.1545 W
47.1732 S, 121.8850 E
78.0836 N, 150.8858 E
1.9129 S, 50.8034 E
2.6981 N, 54.5797 E
56.8371 N, 121.3461 W
10.3380 S, 22.5558 E
3.1119 N, 85.4610 E
58.9958 N, 48.2300 W
23.8197 N, 176.8101 E
40.4716 S, 44.6949 W
56.2185 S, 20.8532 W
39.3964 N, 37.2822 E
39.4696 S, 116.3987 E
59.2043 S, 175.2204 E
57.0996 N, 33.6397 E
68.8161 N, 107.3513 W
16.3205 N, 13.3130 E
10.7184 N, 168.9166 E
84.2814 S, 127.9566 W
19.0450 S, 179.4379 W
41.0387 N, 129.1310 E
14.5043 S, 164.2587 W
6.8519 S, 62.5660 W
72.4506 S, 10.8046 E
20.7359 S, 131.7202 E
63.4543 S, 131.5106 E
56.0995 S, 89.2194 E
29.6815 S, 92.5214 W
30.7923 N, 47.2552 E
28.4551 S, 46.0130 E
7.5912 N, 167.5081 E
64.3699 N, 170.9197 E
81.5200 S, 125.9136 E
16.0979 S, 143.5321 E
31.3637 N, 75.4755 W
68.2198 S, 99.9963 W
67.7234 N, 161.8982 E
75.0918 S, 90.1736 E
61.8328 N, 166.2178 W
34.0737 N, 127.5371 W
16.4138 S, 60.8993 W
46.7066 S, 142.6558 W
23.1157 S, 139.4731 E
12.3398 N, 176.4469 W
9.4310 N, 106.8835 E
47.2267 S, 132.1287 E
79.1647 N, 3.3312 W
14.9798 N, 93.6373 E
1.9253 N, 151.3624 W
65.1889 S, 27.9697 E
13.0776 S, 32.4923 W
87.3680 S, 82.2199 W
21.2670 N, 164.8320 E
21.6754 S, 62.2707 W
24.3046 S, 129.8782 E
5.2206 N, 75.7454 E
0.7787 N, 113.5993 W
4.8657 N, 95.0931 E
84.8897 S, 132.8396 W
32.5677 S, 109.3164 E
46.9716 N, 85.2423 E
55.2909 S, 129.7152 W
68.2425 S, 31.0245 W
27.5517 N, 121.9019 E
69.7785 S, 95.9266 E
44.6654 N, 46.6933 W
18.1527 S, 9.8921 E
43.1231 S, 108.6519 W
37.9830 N, 179.3111 W
68.6294 N, 99.4284 E
46.5607 N, 139.1415 W
24.5612 S, 172.2940 W
48.9671 N, 123.3444 W
54.9119 N, 54.9249 E
48.7797 N, 17.3641 E
20.4504 N, 107.6149 W
0.0532 S, 97.4136 W
83.5370 S, 99.8499 W
49.8214 S, 40.6075 E
45.4605 S, 40.5143 W
27.2867 N, 106.8806 W
10.6554 S, 114.9112 W
12.7081 N, 64.4769 W
9.3367 N, 89.8004 W
46.4673 S, 88.5042 E
21.9875 S, 105.4144 E
39.7475 N, 54.8496 W
22.9209 N, 70.0687 E
23.7722 S, 150.7984 W
16.9658 N, 63.7525 W
0.3950 N, 47.1271 E
71.5726 N, 151.6790 W
76.7853 N, 79.2627 W
38.2018 S, 160.9507 E
87.4798 S, 20.7282 E
50.7181 N, 111.1321 E
31.5602 N, 11.2917 W
0.9782 N, 112.2936 W
2.7131 S, 48.5447 W
66.3957 N, 162.0203 E
20.7527 S, 91.1848 W
71.6753 N, 2.8363 E
4.1140 S, 7.2573 W
64.1187 N, 9.2952 E
59.2961 N, 45.2667 E
20.6410 S, 72.2127 E
28.1519 N, 100.2191 W
82.2501 S, 68.5110 W
73.6116 N, 15.2648 W
65.4126 S, 36.9150 W
24.9769 S, 94.0995 W
87.0570 S, 84.3998 E
21.3336 N, 74.4820 W
0.2428 N, 47.5274 W
1.1071 S, 163.9202 W
19.3949 N, 172.5194 W
77.4980 S, 162.9278 E
87.4308 S, 113.3590 W
46.3352 N, 105.5897 E
73.9734 S, 8.8519 E
79.7550 N, 89.7805 E
43.2008 S, 132.4677 W
72.9225 S, 42.2097 E
83.9413 N, 120.5348 W
51.6743 N, 2.9967 W
84.7908 S, 147.8842 E
73.0230 S, 76.6904 E
34.1788 N, 177.4111 W
63.3295 N, 109.4713 E
65.7850 S, 15.0166 E
86.0448 N, 80.6312 E
86.3677 N, 4.1585 W
37.6155 S, 5.5670 W
69.1643 N, 73.5210 W
11.7962 N, 177.0443 E
86.6577 N, 178.8310 W
82.4061 N, 77.8652 E
38.2801 S, 43.7654 W
14.8708 N, 137.7644 W
33.9149 S, 7.6797 W
52.3353 N, 54.9115 W
87.4896 S, 22.5316 E
4.7274 N, 170.8381 E
10.2006 S, 121.0260 W
7.4995 N, 112.5732 W
17.5070 N, 179.2492 W
38.0884 S, 142.0935 W
59.5606 S, 123.7566 E
33.3715 S, 108.4628 W
12.2891 N, 73.8360 W
62.8824 S, 2.4052 W
20.6016 S, 141.9570 E
13.6112 S, 150.5206 W
81.6181 N, 171.8793 W
66.1985 N, 21.4633 W
32.9820 N, 66.0463 E
56.8361 S, 17.1766 W
51.5009 N, 178.4073 E
10.1023 N, 110.1357 W
71.2138 S, 23.0822 E
52.9182 N, 127.8455 W
63.1169 S, 3.2020 W
50.5083 N, 113.5033 E
45.3101 N, 169.9315 W
45.3809 N, 99.6459 E
43.0317 S, 70.7426 W
54.2536 S, 130.3423 E
31.1853 N, 80.4641 E
71.3808 S, 85.9353 E
78.7647 S, 130.2285 E
63.3559 S, 37.1648 E
85.2295 S, 85.4149 W
55.3567 S, 111.7048 E
61.1204 S, 170.7107 E
6.6293 S, 39.9162 W
51.8687 S, 110.8935 W
45.6758 S, 83.7850 E
51.9105 N, 167.2881 E
21.7544 S, 26.2796 W
41.4811 N, 7.6718 E
23.4909 S, 28.1869 W
57.0784 N, 89.0334 E
62.7247 S, 85.6084 W
46.5146 N, 102.0087 W
15.9594 N, 46.7822 W
77.9213 S, 100.5239 W
11.8268 N, 107.8978 W
24.2574 S, 127.9926 E
69.1187 N, 105.2280 E
32.2961 N, 84.5581 W
63.1992 S, 134.6213 E
36.0493 S, 94.5177 W
56.4455 S, 123.8649 W
73.4237 N, 175.2837 W
88.8875 N, 21.7434 W
22.9766 S, 108.0227 W
84.4660 N, 75.1159 W
6.8809 S, 25.8249 W
79.4469 S, 118.8431 E
80.3820 S, 124.9813 W
68.0901 N, 54.5355 W
62.5808 S, 164.7148 E
70.8328 N, 160.2268 W
0.3806 S, 71.8332 E
17.1691 S, 62.3368 E
40.3314 N, 126.3941 E
19.5191 N, 19.5154 E
22.3005 N, 78.4999 E
7.1460 N, 7.1668 E
12.5731 N, 60.4211 E
69.5267 N, 20.4343 E
18.2091 S, 169.4572 W
29.7087 S, 121.6355 W
50.1615 S, 168.0365 E
67.6479 S, 66.5273 E
87.7331 S, 48.1461 E
68.8237 S, 103.9464 E
40.9453 N, 135.3146 W
71.8626 S, 108.4570 E
77.7619 N, 10.9313 W
63.7118 S, 165.2660 W
47.4109 S, 28.6125 W
35.2464 N, 37.7114 E
6.7963 S, 137.9103 W
42.1308 N, 87.7445 W
0.3877 S, 91.0552 E
30.3796 N, 24.5883 E
70.4362 S, 95.0429 E
35.5161 N, 68.3615 E
59.9034 S, 163.0693 W
63.1866 N, 165.3088 W
7.1157 N, 174.2077 W
47.6729 N, 50.4597 W
18.2049 N, 105.1643 E
71.2803 S, 58.7394 W
85.4563 N, 66.3298 E
22.6858 S, 134.7253 E
66.7994 N, 32.5108 E
1.4601 N, 156.5022 E
88.1651 N, 1.3740 W
84.5808 S, 71.5461 E
79.0495 S, 26.7864 W
65.5386 S, 56.6297 W
87.6021 N, 27.9632 W
80.2553 S, 173.2146 E
42.5348 S, 24.1176 E
80.5272 S, 13.9480 W
49.6076 N, 9.3550 E
85.0502 N, 14.9917 W
50.9604 N, 118.9933 W
59.8363 S, 79.1861 E
14.6957 S, 63.5816 E
52.6877 N, 84.0062 W
66.2544 N, 136.1397 E
80.9240 S, 158.3870 E
21.9387 S, 125.9153 W
72.6704 N, 41.6361 E
80.9546 S, 3.4675 W
7.0455 S, 171.4157 E
54.4922 S, 53.0342 E
81.3269 S, 171.3401 E
68.3924 S, 1.7685 E
49.1095 S, 134.1945 E
40.0304 S, 83.0918 E
74.4139 S, 33.1396 W
27.5767 N, 28.8541 E
55.1089 S, 77.5158 E
32.9382 N, 14.1636 W
39.9085 S, 141.8096 E
2.4261 N, 167.3199 E
29.5290 S, 13.7065 E
53.8777 S, 2.4492 W
20.0001 N, 29.3764 W
1.8307 N, 100.3576 W
56.0451 N, 114.0590 W
23.2107 S, 67.3558 W
30.1159 S, 134.3375 W
8.2476 N, 115.4021 W
65.8498 S, 171.1826 E
32.3701 S, 150.6237 W
66.6698 S, 4.8464 W
60.5448 N, 128.6961 W
47.0890 S, 13.4939 W
19.2029 N, 116.4583 E
64.5494 S, 108.9034 E
47.5850 S, 95.6437 W
82.3773 N, 106.5722 E
85.2103 N, 126.1963 E
65.6013 S, 48.2435 W
9.0675 N, 122.4748 E
61.8044 N, 3.9226 E
88.7465 N, 15.5117 E
49.6999 N, 156.9398 W
13.0105 S, 141.9781 E
43.9175 S, 91.4347 W
14.2123 N, 44.7740 E
61.6154 N, 103.9720 E
7.0384 S, 11.5088 E
5.6335 N, 97.0651 E
29.5424 N, 27.5341 E
27.4316 N, 119.0427 E
52.6054 S, 41.5365 E
75.0169 S, 58.3324 W
15.6850 N, 138.2804 E
16.5110 S, 41.2298 E
59.7480 N, 116.5458 E
76.2116 N, 125.9610 E
17.8517 S, 102.8344 E
41.7082 S, 137.1578 W
2.0790 S, 69.7381 W
33.7938 N, 1.4388 W
11.0880 N, 82.3999 W
29.1089 S, 173.3140 W
28.8339 N, 75.2402 E
63.1339 S, 122.1209 W
68.9633 S, 95.1927 E
53.1174 N, 160.8830 E
3.3048 S, 53.3691 E
76.2211 S, 26.9539 E
35.8496 N, 53.9040 E
71.9541 N, 83.9991 W
87.2606 S, 61.7620 W
24.7174 S, 58.1729 E
17.3170 N, 64.9314 W
34.2458 S, 126.3663 E
34.1027 N, 98.3866 E
45.4104 S, 111.9404 E
36.7245 S, 104.7471 W
32.5753 N, 12.2211 E
39.5814 N, 74.9690 W
53.6483 N, 81.2910 W
31.7855 S, 176.0442 E
24.8193 N, 134.3475 W
8.4508 S, 119.8934 E
39.2261 N, 57.9808 E
85.3226 N, 179.0910 E
62.8328 N, 130.3772 W
79.1069 N, 65.2913 E
84.3667 N, 70.3465 W
4.0084 S, 140.1760 W
11.7217 N, 41.7713 W
21.9966 N, 157.1111 E
81.6093 S, 144.1170 W
87.6008 N, 94.4824 W
9.4151 N, 71.5296 W
78.9993 S, 85.5335 E
35.5464 S, 38.1903 E
29.7615 S, 75.5831 W
42.9499 S, 94.4463 W
86.0275 N, 89.8989 E
80.8089 N, 130.6400 E
13.7907 S, 85.0354 E
87.9153 N, 36.6986 E
86.7241 N, 176.6253 E
66.3836 S, 102.0789 W
33.4157 S, 145.9316 W
21.0644 S, 72.6077 E
12.4711 N, 48.4338 E
36.4244 S, 62.5332 E
64.3698 S, 71.5332 E
29.8276 N, 45.0008 W
32.7652 S, 146.1781 E
31.3781 N, 92.9162 E
41.3474 S, 154.9130 E
16.4770 S, 144.2276 E
44.7217 S, 34.0223 W
44.9892 N, 179.3470 E
39.5083 N, 137.4127 W
57.4049 S, 33.5057 E
6.1663 N, 49.7185 E
49.5585 S, 112.6190 W
5.4675 S, 137.7192 W
48.6441 S, 64.9618 W
28.7833 N, 6.0185 E
34.0361 S, 138.4031 E
49.2697 N, 87.7820 E
14.9650 S, 179.2712 E
27.2771 N, 5.2108 E
85.3189 S, 163.8354 E
12.3029 N, 43.6315 E
17.0811 N, 73.5373 E
74.7055 S, 44.7918 W
47.2033 S, 163.5891 E
36.3610 S, 78.0931 W
7.9796 S, 35.7290 W
68.4906 S, 88.2426 W
6.6821 N, 44.6846 E
88.4222 N, 104.2219 E
31.1888 N, 5.5234 E
50.2911 S, 177.0554 W
20.8215 N, 8.8204 W
59.5540 S, 1.3947 W
77.7024 S, 21.0953 W
53.4413 S, 27.9633 W
67.8555 S, 24.4423 E
45.9631 S, 130.5350 E
88.9086 N, 29.1757 E
56.1765 N, 131.1586 E
46.3667 S, 56.9705 W
35.3399 N, 107.7643 W
26.9851 S, 147.6946 E
10.7460 S, 21.5725 E
63.3940 N, 157.6724 E
5.3500 S, 95.6569 E
5.0077 N, 29.8891 W
16.4386 N, 130.3189 W
61.6195 N, 38.0840 E
36.0545 S, 7.9956 E
12.8216 S, 8.5693 W
18.2005 S, 12.1977 W
24.0632 N, 94.6284 E
8.2580 N, 46.2926 W
50.5571 N, 60.3290 W
39.5613 N, 7.5535 W
63.9419 N, 152.9897 E
4.5629 N, 82.3382 E
30.6756 S, 83.4890 E
74.1320 S, 140.6146 W
13.5651 S, 124.9612 E
33.8985 N, 86.6599 E
79.2745 N, 101.7370 W
14.8048 N, 120.3849 E
38.9856 S, 148.3466 E
20.4538 S, 151.6433 W
73.4729 N, 153.4978 W
21.2121 S, 13.6698 E
44.4078 N, 84.6391 E
63.2439 S, 110.4655 E
59.9531 S, 143.8297 W
73.3392 N, 132.0378 W
12.5065 N, 66.0331 W
66.7491 N, 109.1279 W
1.1730 N, 69.4098 E
65.7995 S, 128.6162 E
34.6533 N, 135.8984 W
13.3759 N, 31.0117 W
75.3317 N, 147.2351 W
48.9981 S, 3.7078 E
54.0641 S, 51.0241 W
44.8248 N, 156.6656 E
58.3445 S, 78.5459 W
87.5945 N, 42.6009 W
36.4380 N, 40.6791 W
18.2348 S, 79.6369 E
25.1709 N, 4.8108 W
69.7550 N, 114.0170 W
61.3739 S, 77.1860 W
48.8696 N, 99.2495 E
41.5213 N, 61.7347 E
54.1062 S, 175.6834 W
5.0240 N, 73.8421 E
81.1641 N, 80.0901 W
42.2845 N, 100.2494 E
4.1161 N, 49.7129 W
18.5636 S, 81.1090 E
52.1044 S, 75.4396 W
41.4197 S, 99.2056 W
41.0887 N, 177.2650 W
47.5037 N, 175.6974 W
64.8326 S, 156.3631 E
89.0186 S, 137.7368 W
22.3831 S, 147.6361 W
6.2291 S, 67.1110 W
51.0456 S, 152.2152 E
0.5650 N, 81.0186 E
36.1822 N, 162.0718 W
87.3347 N, 104.6283 W
12.5661 N, 41.5918 W
28.8075 S, 106.8423 E
63.7877 N, 100.4891 W
53.8506 N, 170.5185 W
22.4168 S, 64.8958 E
80.5604 N, 9.7493 E
19.5339 N, 177.9064 W
30.2175 S, 147.3153 E
58.7918 N, 29.4871 E
30.0678 N, 97.4895 W
53.2632 S, 91.7463 W
34.8858 S, 52.4749 E
63.0613 S, 127.8141 E
58.3990 N, 170.3740 W
28.5825 S, 21.0731 E
32.4893 S, 175.3451 W
84.3881 S, 51.6455 E
63.0346 N, 79.3092 W
55.2650 N, 53.2258 W
64.8273 S, 103.7757 E
1.2417 N, 49.4611 E
63.4866 S, 87.8191 W
31.8098 N, 134.5291 W
48.6329 S, 11.7782 E
49.3919 S, 162.2442 E
19.6635 S, 97.9163 W
69.2957 N, 133.6039 W
66.5606 N, 64.3306 E
54.7786 S, 42.0807 W
40.3216 N, 109.6682 E
86.4352 S, 21.0809 E
38.2610 S, 174.8141 W
83.8186 N, 170.2207 W
22.9243 S, 106.0448 E
17.9120 N, 171.2812 W
20.8824 S, 33.0967 W
78.6022 N, 124.8308 W
14.2654 N, 152.3688 W
64.8898 S, 107.0629 E
26.7473 S, 23.2843 E
48.2298 N, 120.8197 W
4.4523 N, 40.8296 W
78.0709 S, 16.7801 E
21.8195 S, 72.9565 E
59.7503 N, 89.6146 E
38.8250 S, 161.4948 E
1.8074 S, 97.4387 E
81.5049 S, 146.9807 E
50.0073 N, 26.8413 W
35.1559 N, 17.2709 E
7.4068 N, 151.6569 W
13.9555 S, 155.4343 W
54.9624 N, 171.8035 E
75.1980 S, 142.4360 W
2.8999 N, 113.2599 E
80.2407 N, 173.3502 E
63.9868 S, 10.2474 W
87.4682 S, 44.3219 E
76.3852 S, 61.3743 E
24.9019 N, 79.8432 E
69.1802 S, 20.3028 W
58.5508 S, 50.9386 E
88.2294 S, 31.6250 W
9.8143 N, 154.0009 E
75.4466 N, 168.4358 E
72.2479 S, 74.5833 E
62.4812 S, 29.7205 W
62.1264 S, 70.0932 E
28.5215 S, 88.5320 W
71.7764 S, 24.3856 W
56.2242 S, 100.5303 E
46.2699 S, 109.2609 E
18.5195 N, 71.3226 W
45.9199 N, 72.4988 E
35.7787 N, 173.9303 E
11.0994 S, 102.1818 E
60.9074 S, 140.8889 W
37.9126 N, 0.1631 W
4.0830 N, 65.6712 E
43.8501 N, 178.9448 W
30.6262 N, 123.8565 E
18.5691 N, 13.5731 W
46.4263 S, 137.8620 W
18.7396 N, 61.4050 W
89.6512 S, 171.6187 W
68.9259 S, 85.1341 W
65.1799 N, 109.3689 W
79.3000 S, 175.3796 W
25.9816 S, 80.2606 W
29.0225 S, 114.3647 E
14.1885 N, 59.5442 W
62.4766 N, 5.3703 W
74.6824 S, 113.4719 E
54.0764 S, 112.9839 E
71.7905 S, 155.8626 W
87.5263 N, 61.4177 E
41.3656 S, 132.5597 E
59.7194 N, 164.6953 E
12.7251 S, 74.8679 W
50.3924 N, 66.8627 W
39.1990 S, 113.8382 E
52.8013 N, 105.3861 E
56.1150 S, 17.6989 E
3.2611 N, 0.5007 W
72.0593 S, 53.7119 W
16.2844 S, 143.0288 E
3.7174 S, 157.5807 E
27.4893 N, 113.9160 W
40.8978 S, 85.6008 W
77.0556 N, 11.2355 E
67.6273 N, 20.7589 E
72.7534 S, 66.0083 E
68.6265 S, 151.5213 W
5.8651 S, 54.2157 E
1.3314 N, 78.0202 E
31.1172 N, 30.3516 W
31.0400 S, 16.8784 E
29.0847 N, 111.8014 W
78.7522 S, 149.6325 W
61.7900 N, 27.9990 E
64.7427 S, 39.1053 W
80.4885 N, 151.4326 W
82.8978 S, 136.6298 W
42.3874 S, 132.0259 E
17.7960 S, 83.1841 E
5.6752 N, 6.7053 E
30.5381 S, 58.7160 E
2.7474 S, 133.3601 W
67.0001 S, 63.7103 E
22.5337 S, 16.1697 W
86.0736 N, 162.7800 W
4.1059 N, 48.1469 W
44.5594 S, 22.9796 E
41.3266 N, 135.1148 E
